MatchID,WorldCupYear,Stage,Date,Stadium,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,Winner,Attendance
144,2018,Group,2018-06-07,Stadium 144,DEN,AUS,1,1,2,Draw,46838
145,2018,Group,2018-06-10,Stadium 145,AUS,PER,0,2,2,PER,57140
146,2018,Group,2018-06-11,Stadium 146,DEN,FRA,0,0,0,Draw,47588
147,2018,Group,2018-06-22,Stadium 147,ARG,ISL,1,1,2,Draw,54204
148,2018,Group,2018-06-06,Stadium 148,CRO,NGA,2,0,2,CRO,40695
149,2018,Group,2018-06-18,Stadium 149,ARG,CRO,0,3,3,CRO,68352
150,2018,Group,2018-06-22,Stadium 150,NGA,ISL,2,0,2,NGA,61156
151,2018,Group,2018-06-11,Stadium 151,NGA,ARG,1,2,3,ARG,41819
152,2018,Group,2018-06-26,Stadium 152,ISL,CRO,1,2,3,CRO,57121
153,2018,Group,2018-06-08,Stadium 153,BRA,SUI,1,1,2,Draw,61725
154,2018,Group,2018-06-01,Stadium 154,CRI,SRB,0,1,1,SRB,34165
155,2018,Group,2018-06-06,Stadium 155,BRA,CRI,2,0,2,BRA,69049
156,2018,Group,2018-06-29,Stadium 156,SRB,SUI,1,2,3,SUI,77323
157,2018,Group,2018-06-19,Stadium 157,SRB,BRA,0,2,2,BRA,37027
158,2018,Group,2018-06-01,Stadium 158,SUI,CRI,2,2,4,Draw,59294
159,2018,Group,2018-06-25,Stadium 159,GER,MEX,0,1,1,MEX,35950
160,2018,Group,2018-06-01,Stadium 160,SWE,KOR,1,0,1,SWE,66371
161,2018,Group,2018-06-09,Stadium 161,GER,SWE,2,1,3,GER,51044
162,2018,Group,2018-06-25,Stadium 162,KOR,MEX,1,2,3,MEX,67626
163,2018,Group,2018-06-03,Stadium 163,KOR,GER,2,0,2,KOR,44266
164,2018,Group,2018-06-05,Stadium 164,MEX,SWE,0,3,3,SWE,32971
165,2018,Group,2018-06-25,Stadium 165,BEL,PAN,3,0,3,BEL,75883
166,2018,Group,2018-06-14,Stadium 166,TUN,ENG,1,2,3,ENG,76014
167,2018,Group,2018-06-14,Stadium 167,BEL,TUN,5,2,7,BEL,35678
168,2018,Group,2018-06-25,Stadium 168,ENG,PAN,6,1,7,ENG,62278
169,2018,Group,2018-06-15,Stadium 169,ENG,BEL,0,1,1,BEL,43201
170,2018,Group,2018-06-14,Stadium 170,PAN,TUN,1,2,3,TUN,77403
171,2018,Group,2018-06-03,Stadium 171,POL,SEN,1,2,3,SEN,61357
172,2018,Group,2018-06-30,Stadium 172,COL,JPN,1,2,3,JPN,52322
173,2018,Group,2018-06-11,Stadium 173,POL,COL,0,3,3,COL,39633
174,2018,Group,2018-06-30,Stadium 174,JPN,SEN,2,2,4,Draw,50306
175,2018,Group,2018-06-29,Stadium 175,JPN,POL,0,1,1,POL,36694
176,2018,Group,2018-06-01,Stadium 176,SEN,COL,0,1,1,COL,47307
177,2018,Knockout,2018-06-22,Stadium 177,URY,POR,2,1,3,URY,44506
178,2018,Knockout,2018-06-10,Stadium 178,FRA,ARG,4,3,7,FRA,66218
179,2018,Knockout,2018-06-18,Stadium 179,BRA,MEX,2,0,2,BRA,72047
180,2018,Knockout,2018-06-15,Stadium 180,BEL,JPN,3,2,5,BEL,38430
181,2018,Knockout,2018-06-20,Stadium 181,SWE,SUI,1,0,1,SWE,68725
182,2018,Knockout,2018-06-20,Stadium 182,CRO,DEN,1,1,2,Draw,55178
183,2018,Knockout,2018-06-08,Stadium 183,COL,ENG,1,1,2,Draw,63386
184,2018,Knockout,2018-06-02,Stadium 184,ESP,RUS,1,1,2,Draw,66474
185,2018,Knockout,2018-06-02,Stadium 185,FRA,URY,2,0,2,FRA,67400
186,2018,Knockout,2018-06-28,Stadium 186,BRA,BEL,1,2,3,BEL,53049
187,2018,Knockout,2018-06-07,Stadium 187,CRO,RUS,2,2,4,Draw,66957
188,2018,Knockout,2018-06-09,Stadium 188,ENG,SWE,2,0,2,ENG,78948
189,2018,Knockout,2018-06-28,Stadium 189,FRA,BEL,1,0,1,FRA,77171
190,2018,Knockout,2018-06-22,Stadium 190,CRO,ENG,2,1,3,CRO,51120
191,2018,Knockout,2018-06-21,Stadium 191,BEL,ENG,2,0,2,BEL,74126
192,2018,Knockout,2018-06-24,Stadium 192,FRA,CRO,4,2,6,FRA,76533
193,2022,Group,2022-06-27,Stadium 193,QAT,ECU,0,2,2,ECU,60041
194,2022,Group,2022-06-25,Stadium 194,SEN,NED,0,2,2,NED,55829
195,2022,Group,2022-06-11,Stadium 195,QAT,SEN,1,3,4,SEN,30229
196,2022,Group,2022-06-02,Stadium 196,NED,ECU,1,1,2,Draw,33386
197,2022,Group,2022-06-04,Stadium 197,ECU,SEN,1,2,3,SEN,34951
198,2022,Group,2022-06-01,Stadium 198,NED,QAT,2,0,2,NED,35904
199,2022,Group,2022-06-12,Stadium 199,ENG,IRN,6,2,8,ENG,57104
200,2022,Group,2022-06-13,Stadium 200,USA,WAL,1,1,2,Draw,74130
201,2022,Group,2022-06-12,Stadium 201,WAL,IRN,0,2,2,IRN,50756
202,2022,Group,2022-06-18,Stadium 202,ENG,USA,0,0,0,Draw,79365
203,2022,Group,2022-06-17,Stadium 203,WAL,ENG,0,3,3,ENG,76917
204,2022,Group,2022-06-01,Stadium 204,IRN,USA,0,1,1,USA,67240
205,2022,Group,2022-06-11,Stadium 205,ARG,KSA,1,2,3,KSA,68891
206,2022,Group,2022-06-13,Stadium 206,MEX,POL,0,0,0,Draw,76728
207,2022,Group,2022-06-24,Stadium 207,POL,KSA,2,0,2,POL,75824
208,2022,Group,2022-06-13,Stadium 208,ARG,MEX,2,0,2,ARG,41395
209,2022,Group,2022-06-23,Stadium 209,POL,ARG,0,2,2,ARG,64630
210,2022,Group,2022-06-05,Stadium 210,KSA,MEX,1,2,3,MEX,78948
211,2022,Group,2022-06-14,Stadium 211,FRA,AUS,4,1,5,FRA,34584
212,2022,Group,2022-06-25,Stadium 212,DEN,TUN,0,0,0,Draw,62675
213,2022,Group,2022-06-18,Stadium 213,FRA,DEN,2,1,3,FRA,73768
214,2022,Group,2022-06-14,Stadium 214,TUN,AUS,0,1,1,AUS,67635
215,2022,Group,2022-06-04,Stadium 215,AUS,DEN,1,0,1,AUS,64135
216,2022,Group,2022-06-26,Stadium 216,TUN,FRA,1,0,1,TUN,61337
217,2022,Group,2022-06-15,Stadium 217,ESP,CRC,7,0,7,ESP,53257
218,2022,Group,2022-06-22,Stadium 218,GER,JPN,1,2,3,JPN,76724
219,2022,Group,2022-06-11,Stadium 219,JPN,CRC,0,1,1,CRC,50714
220,2022,Group,2022-06-13,Stadium 220,ESP,GER,1,1,2,Draw,65103
221,2022,Group,2022-06-17,Stadium 221,JPN,ESP,2,1,3,JPN,55277
222,2022,Group,2022-06-05,Stadium 222,CRC,GER,2,4,6,GER,31663
223,2022,Group,2022-06-13,Stadium 223,BEL,CAN,1,0,1,BEL,50166
224,2022,Group,2022-06-19,Stadium 224,MAR,CRO,0,0,0,Draw,30786
225,2022,Group,2022-06-09,Stadium 225,BEL,MAR,0,2,2,MAR,70772
226,2022,Group,2022-06-11,Stadium 226,CRO,CAN,4,1,5,CRO,44213
227,2022,Group,2022-06-04,Stadium 227,CRO,BEL,0,0,0,Draw,34765
228,2022,Group,2022-06-20,Stadium 228,CAN,MAR,1,2,3,MAR,50454
229,2022,Group,2022-06-25,Stadium 229,BRA,SRB,2,0,2,BRA,79622
230,2022,Group,2022-06-14,Stadium 230,SUI,CMR,1,0,1,SUI,58684
231,2022,Group,2022-06-12,Stadium 231,BRA,SUI,1,0,1,BRA,48314
232,2022,Group,2022-06-16,Stadium 232,CMR,SRB,3,3,6,Draw,57183
233,2022,Group,2022-06-25,Stadium 233,CMR,BRA,1,0,1,CMR,79310
234,2022,Group,2022-06-10,Stadium 234,SRB,SUI,2,3,5,SUI,63150
235,2022,Group,2022-06-10,Stadium 235,POR,GHA,3,2,5,POR,45043
236,2022,Group,2022-06-07,Stadium 236,URY,KOR,0,0,0,Draw,60512
237,2022,Group,2022-06-09,Stadium 237,POR,URY,2,0,2,POR,73802
238,2022,Group,2022-06-01,Stadium 238,KOR,GHA,2,3,5,GHA,45398
239,2022,Group,2022-06-03,Stadium 239,KOR,POR,2,1,3,KOR,64500
240,2022,Group,2022-06-17,Stadium 240,GHA,URY,0,2,2,URY,56417
241,2022,Knockout,2022-06-03,Stadium 241,NED,USA,3,1,4,NED,40004
242,2022,Knockout,2022-06-22,Stadium 242,ARG,AUS,2,1,3,ARG,66928
243,2022,Knockout,2022-06-21,Stadium 243,FRA,POL,3,1,4,FRA,48423
244,2022,Knockout,2022-06-29,Stadium 244,ENG,SEN,3,0,3,ENG,63932
245,2022,Knockout,2022-06-08,Stadium 245,JPN,CRO,1,1,2,Draw,53701
246,2022,Knockout,2022-06-04,Stadium 246,BRA,KOR,4,1,5,BRA,44526
247,2022,Knockout,2022-06-11,Stadium 247,MAR,ESP,0,0,0,Draw,48444
248,2022,Knockout,2022-06-18,Stadium 248,POR,SUI,6,1,7,POR,51925
249,2022,Knockout,2022-06-05,Stadium 249,CRO,BRA,1,1,2,Draw,71722
250,2022,Knockout,2022-06-24,Stadium 250,NED,ARG,2,2,4,Draw,51735
251,2022,Knockout,2022-06-10,Stadium 251,MAR,POR,1,0,1,MAR,62108
252,2022,Knockout,2022-06-19,Stadium 252,ENG,FRA,1,2,3,FRA,50149
253,2022,Knockout,2022-06-04,Stadium 253,ARG,CRO,3,0,3,ARG,75332
254,2022,Knockout,2022-06-08,Stadium 254,FRA,MAR,2,0,2,FRA,64848
255,2022,Knockout,2022-06-12,Stadium 255,CRO,MAR,2,1,3,CRO,76683
256,2022,Knockout,2022-06-06,Stadium 256,ARG,FRA,3,3,6,Draw,49439
257,2026,Group,2026-06-12,Stadium 257,ARG,BRA,0,4,4,BRA,73703
258,2026,Group,2026-06-06,Stadium 258,ARG,FRA,1,2,3,FRA,47269
259,2026,Group,2026-06-06,Stadium 259,ARG,ESP,0,2,2,ESP,67326
260,2026,Group,2026-06-16,Stadium 260,BRA,FRA,2,1,3,BRA,44045
261,2026,Group,2026-06-16,Stadium 261,BRA,ESP,4,1,5,BRA,55033
262,2026,Group,2026-06-18,Stadium 262,FRA,ESP,1,1,2,Draw,67592
263,2026,Group,2026-06-09,Stadium 263,ENG,GER,0,0,0,Draw,63787
264,2026,Group,2026-06-18,Stadium 264,ENG,POR,2,0,2,ENG,35716
265,2026,Group,2026-06-14,Stadium 265,ENG,NED,2,1,3,ENG,35845
266,2026,Group,2026-06-13,Stadium 266,GER,POR,1,2,3,POR,79329
267,2026,Group,2026-06-19,Stadium 267,GER,NED,1,2,3,NED,31004
268,2026,Group,2026-06-17,Stadium 268,POR,NED,3,0,3,POR,51921
269,2026,Group,2026-06-12,Stadium 269,ITA,BEL,1,0,1,ITA,60933
270,2026,Group,2026-06-13,Stadium 270,ITA,URU,1,0,1,ITA,68936
271,2026,Group,2026-06-14,Stadium 271,ITA,CRO,0,2,2,CRO,65383
272,2026,Group,2026-06-16,Stadium 272,BEL,URU,0,0,0,Draw,56766
273,2026,Group,2026-06-16,Stadium 273,BEL,CRO,1,0,1,BEL,39638
274,2026,Group,2026-06-01,Stadium 274,URU,CRO,0,2,2,CRO,69851
275,2026,Group,2026-06-09,Stadium 275,COL,MEX,0,0,0,Draw,53140
276,2026,Group,2026-06-17,Stadium 276,COL,USA,0,0,0,Draw,69600
277,2026,Group,2026-06-03,Stadium 277,COL,JPN,5,1,6,COL,76840
278,2026,Group,2026-06-02,Stadium 278,MEX,USA,1,1,2,Draw,42233
279,2026,Group,2026-06-20,Stadium 279,MEX,JPN,1,0,1,MEX,31467
280,2026,Group,2026-06-17,Stadium 280,USA,JPN,3,4,7,JPN,68811
281,2026,Group,2026-06-05,Stadium 281,KOR,SEN,0,2,2,SEN,49386
282,2026,Group,2026-06-04,Stadium 282,KOR,MAR,1,0,1,KOR,35446
283,2026,Group,2026-06-19,Stadium 283,KOR,IRN,1,0,1,KOR,37056
284,2026,Group,2026-06-01,Stadium 284,SEN,MAR,1,1,2,Draw,67088
285,2026,Group,2026-06-17,Stadium 285,SEN,IRN,2,1,3,SEN,50971
286,2026,Group,2026-06-01,Stadium 286,MAR,IRN,3,2,5,MAR,79082
287,2026,Group,2026-06-12,Stadium 287,AUS,CAN,0,1,1,CAN,56734
288,2026,Group,2026-06-07,Stadium 288,AUS,ECU,3,2,5,AUS,66892
289,2026,Group,2026-06-16,Stadium 289,AUS,PER,0,3,3,PER,48297
290,2026,Group,2026-06-13,Stadium 290,CAN,ECU,3,1,4,CAN,41601
291,2026,Group,2026-06-14,Stadium 291,CAN,PER,3,3,6,Draw,70369
292,2026,Group,2026-06-20,Stadium 292,ECU,PER,0,1,1,PER,79962
293,2026,Group,2026-06-14,Stadium 293,CHI,PAR,5,1,6,CHI,71619
294,2026,Group,2026-06-09,Stadium 294,CHI,GHA,2,1,3,CHI,53078
295,2026,Group,2026-06-05,Stadium 295,CHI,CMR,1,2,3,CMR,35794
296,2026,Group,2026-06-04,Stadium 296,PAR,GHA,2,0,2,PAR,52736
297,2026,Group,2026-06-09,Stadium 297,PAR,CMR,3,2,5,PAR,66298
298,2026,Group,2026-06-16,Stadium 298,GHA,CMR,2,1,3,GHA,57061
299,2026,Group,2026-06-14,Stadium 299,TUN,EGY,0,1,1,EGY,77834
300,2026,Group,2026-06-09,Stadium 300,TUN,ALG,2,1,3,TUN,36600
301,2026,Group,2026-06-08,Stadium 301,TUN,NGA,2,1,3,TUN,51729
302,2026,Group,2026-06-04,Stadium 302,EGY,ALG,1,1,2,Draw,31028
303,2026,Group,2026-06-05,Stadium 303,EGY,NGA,3,2,5,EGY,61455
304,2026,Group,2026-06-16,Stadium 304,ALG,NGA,1,1,2,Draw,32595
305,2026,Group,2026-06-07,Stadium 305,CIV,MLI,2,1,3,CIV,69590
306,2026,Group,2026-06-01,Stadium 306,CIV,BFA,0,0,0,Draw,77971
307,2026,Group,2026-06-19,Stadium 307,CIV,DRC,1,1,2,Draw,53399
308,2026,Group,2026-06-20,Stadium 308,MLI,BFA,0,1,1,BFA,54923
309,2026,Group,2026-06-15,Stadium 309,MLI,DRC,2,1,3,MLI,66012
310,2026,Group,2026-06-11,Stadium 310,BFA,DRC,1,1,2,Draw,56333
311,2026,Group,2026-06-06,Stadium 311,ZAM,CPV,1,2,3,CPV,51599
312,2026,Group,2026-06-03,Stadium 312,ZAM,NZL,1,2,3,NZL,73771
313,2026,Group,2026-06-11,Stadium 313,ZAM,QAT,1,0,1,ZAM,57810
314,2026,Group,2026-06-02,Stadium 314,CPV,NZL,3,2,5,CPV,72602
315,2026,Group,2026-06-10,Stadium 315,CPV,QAT,2,3,5,QAT,45023
316,2026,Group,2026-06-09,Stadium 316,NZL,QAT,1,1,2,Draw,66404
317,2026,Group,2026-06-06,Stadium 317,IRQ,UZB,1,1,2,Draw,45000
318,2026,Group,2026-06-16,Stadium 318,IRQ,JOR,1,2,3,JOR,39046
319,2026,Group,2026-06-05,Stadium 319,IRQ,OMA,3,1,4,IRQ,63908
320,2026,Group,2026-06-04,Stadium 320,UZB,JOR,1,2,3,JOR,32616
321,2026,Group,2026-06-17,Stadium 321,UZB,OMA,2,0,2,UZB,45106
322,2026,Group,2026-06-06,Stadium 322,JOR,OMA,3,0,3,JOR,66047
323,2026,Group,2026-06-01,Stadium 323,BHR,KSA,0,1,1,KSA,37936
