PlayerID,Name,CountryCode,WorldCupYear,Position,Age,BirthYear,Height,Weight,PreferredFoot,MarketValue,OverallRating,Matches,Minutes,Goals,Assists,Saves,CleanSheets,GoalsConceded,PassAccuracy,Tackles,Interceptions,Clearances,Errors,PenaltiesSaved,xG,Shots,ShotsOnTarget,Dribbles,Fouls,YellowCards,RedCards
32,Gakpo,NED,2010,RB,30,1980,178,79,Left,25.0,93,4,355,0.17,0.48,0.0,2.19,0.0,81.3,9.62,9.61,8.58,0.75,0.0,0.89,4.35,2.74,9.69,8.91,1,0
33,Koopmeiners,NED,2010,CAM,37,1973,175,81,Left,45.5,79,3,279,1.0,1.31,0.0,0.54,0.0,82.7,4.27,5.28,1.23,0.74,0.2,0.49,6.81,1.72,12.35,4.4,0,0
34,Timber,NED,2010,CB,33,1977,182,79,Right,62.6,76,2,192,0.27,0.07,0.0,2.09,0.0,89.3,6.78,9.97,28.75,0.51,-0.3,0.41,4.18,0.99,1.86,5.29,1,0
35,Frimpong,NED,2010,CB,20,1990,171,71,Left,16.6,73,4,375,0.1,0.14,0.0,1.82,0.0,90.7,6.5,9.5,14.41,0.56,0.0,0.4,3.43,0.99,2.18,4.5,1,0
36,Simons,NED,2010,CDM,37,1973,187,86,Right,13.1,73,4,363,0.24,0.35,0.0,0.93,0.0,91.4,12.6,5.96,7.77,0.49,-0.1,0.8,3.17,1.19,2.99,4.34,1,0
37,Veerman,NED,2010,LB,24,1986,187,71,Left,57.1,92,4,426,0.25,0.69,0.0,1.28,0.0,77.9,7.04,7.34,12.19,0.78,0.5,0.67,5.41,2.87,5.35,1.26,0,0
38,Reijnders,NED,2010,ST,28,1982,180,73,Right,175.9,86,5,461,1.2,0.41,0.0,0.0,0.0,69.3,1.04,2.32,1.38,0.8,-0.7,2.07,3.38,5.12,6.73,9.63,0,0
39,Geertruida,NED,2010,CB,30,1980,189,80,Right,29.6,74,4,415,0.17,0.14,0.0,1.32,0.0,82.5,8.17,10.17,17.27,0.47,-0.2,0.04,5.08,0.97,2.07,8.21,0,0
40,Hartog,NED,2010,RB,36,1974,188,69,Left,43.2,85,3,324,0.26,0.47,0.0,1.99,0.0,81.5,1.08,4.46,12.6,1.14,-0.5,0.27,0.22,1.22,7.28,4.54,0,0
41,Flekken,NED,2010,CM,24,1986,175,82,Left,22.0,69,4,374,0.58,0.73,0.0,0.65,0.0,85.0,8.42,8.71,6.49,0.98,-0.0,0.37,7.34,3.08,4.01,5.61,1,0
42,Verbruggen,NED,2010,RW,30,1980,177,66,Right,83.0,84,6,539,0.76,0.78,0.0,0.22,0.0,74.0,2.13,2.35,2.54,0.93,-0.2,1.3,8.27,4.1,14.0,4.88,0,0
43,Baas,NED,2010,RW,26,1984,172,78,Left,80.6,76,3,262,0.38,1.04,0.0,0.36,0.0,73.3,2.12,4.45,1.49,2.2,-0.0,0.69,10.89,4.21,15.45,7.6,0,0
44,Hato,NED,2010,CM,26,1984,190,78,Both,53.6,77,4,420,0.42,0.63,0.0,0.59,0.0,95.0,8.0,8.22,3.56,0.63,0.1,0.77,4.0,2.55,5.47,6.18,0,0
45,Klaassen,NED,2010,ST,37,1973,191,70,Right,21.3,86,3,284,0.86,0.26,0.0,0.0,0.0,74.7,2.31,2.35,0.91,0.53,-0.0,1.28,16.37,7.22,7.53,9.63,0,0
46,Malen,NED,2010,CM,35,1975,179,85,Left,27.2,65,3,241,0.46,0.53,0.0,1.42,0.0,88.1,6.5,6.72,4.31,0.78,0.1,0.46,5.14,2.45,4.28,4.74,0,0
47,Neuer,GER,2010,CAM,28,1982,176,68,Both,55.5,73,4,408,0.75,0.52,0.0,0.49,0.0,79.9,5.52,10.12,1.42,1.53,-0.1,0.39,9.46,3.65,8.83,4.73,0,0
48,Muller,GER,2010,CB,33,1977,171,70,Left,42.7,82,4,384,0.23,0.06,0.0,2.06,0.0,87.6,12.23,4.59,23.3,0.46,0.3,0.25,3.79,0.89,1.85,4.94,0,0
49,Gnabry,GER,2010,CM,31,1979,190,83,Right,49.7,77,2,194,0.54,0.86,0.0,0.97,0.0,90.0,4.99,8.46,5.09,0.74,-0.1,0.89,6.34,3.08,5.77,4.44,0,0
50,Kimmich,GER,2010,RW,20,1990,179,75,Both,30.8,78,3,336,0.65,0.98,0.0,0.64,0.0,78.0,2.91,1.55,1.22,0.92,-0.1,0.9,8.9,3.47,11.65,4.95,0,0
51,Goretzka,GER,2010,CDM,19,1991,192,82,Right,47.4,73,6,487,0.12,0.31,0.0,0.8,0.0,92.8,10.19,10.55,7.09,0.21,0.4,0.39,4.17,1.06,2.71,11.28,1,0
52,Hummels,GER,2010,GK,21,1989,184,93,Right,12.4,66,3,305,0.0,0.0,19.76,1.59,2.72,83.4,1.24,2.04,5.5,0.0,-0.1,-0.09,0.0,0.0,0.0,1.42,0,0
53,Rudiger,GER,2010,CM,28,1982,179,86,Right,12.5,66,5,437,0.4,0.45,0.0,0.76,0.0,88.9,10.22,8.19,3.51,0.74,0.3,0.47,6.13,1.95,9.25,4.99,0,0
54,Sule,GER,2010,LW,34,1976,192,85,Both,35.2,72,4,348,0.65,1.11,0.0,0.5,0.0,80.8,3.18,3.81,2.13,1.97,0.2,0.08,8.51,2.24,10.13,7.48,0,0
55,Gosens,GER,2010,CB,33,1977,184,83,Left,13.9,76,3,297,0.2,0.1,0.0,1.69,0.0,90.8,7.43,12.2,24.84,0.56,-0.2,0.08,4.13,0.94,2.4,5.01,0,0
56,Havertz,GER,2010,LB,22,1988,189,77,Right,31.8,87,1,99,0.22,0.6,0.0,1.66,0.0,85.6,10.32,6.21,17.29,0.88,-0.1,-0.02,5.03,1.96,4.63,2.63,0,0
57,Sané,GER,2010,GK,27,1983,185,90,Right,21.7,66,4,311,0.0,0.0,14.62,1.03,3.36,89.7,0.98,1.81,3.55,0.0,1.0,-0.22,0.0,0.0,0.0,0.96,0,0
58,Werner,GER,2010,LB,25,1985,191,80,Right,31.3,91,4,324,0.33,0.71,0.0,2.24,0.0,82.9,5.51,11.27,9.23,0.93,-0.6,0.07,3.82,1.09,5.38,5.08,0,0
59,Ginter,GER,2010,RW,37,1973,188,76,Left,58.5,71,2,185,0.64,0.67,0.0,0.47,0.0,74.5,4.25,5.98,0.4,1.26,0.2,0.85,4.22,5.63,20.55,3.91,0,0
60,Kehrer,GER,2010,CM,24,1986,188,66,Right,22.4,74,4,369,0.41,0.87,0.0,1.41,0.0,89.8,7.61,7.34,4.81,0.9,0.5,0.75,4.23,1.56,6.36,8.46,0,0
61,Trapp,GER,2010,ST,21,1989,179,69,Right,67.4,89,3,274,1.24,0.35,0.0,0.0,0.0,73.1,2.19,1.99,1.46,0.72,0.3,1.31,12.44,4.86,3.39,7.68,0,0
62,Ter Stegen,GER,2010,CB,19,1991,184,87,Right,94.3,87,4,332,0.24,0.16,0.0,2.8,0.0,92.9,8.3,10.78,33.08,0.7,-0.1,0.27,4.63,0.85,2.36,5.83,0,0
63,Brandt,GER,2010,RB,34,1976,178,80,Right,61.5,93,3,325,0.36,0.42,0.0,2.19,0.0,81.7,13.45,12.5,7.73,0.78,-0.4,0.53,4.6,3.17,6.45,5.72,0,0
64,Reus,GER,2010,GK,35,1975,199,84,Both,31.3,70,3,281,0.0,0.0,3.68,1.7,2.87,80.9,0.99,2.2,4.97,0.0,0.7,0.04,0.0,0.0,0.0,1.38,0,0
65,Can,GER,2010,RB,35,1975,171,74,Right,56.4,94,3,291,0.43,0.76,0.0,1.5,0.0,84.7,5.19,8.04,8.84,0.79,-0.3,0.59,4.69,2.47,6.72,5.34,0,0
66,Schlotterbeck,GER,2010,LW,29,1981,186,82,Right,62.6,86,3,278,0.76,1.05,0.0,0.54,0.0,79.5,3.89,5.01,2.19,1.97,0.2,1.23,8.0,3.52,13.18,1.27,0,0
67,Adeyemi,GER,2010,CDM,20,1990,179,77,Left,46.2,84,3,279,0.09,0.32,0.0,1.41,0.0,91.9,11.89,8.58,8.87,0.43,-0.2,0.21,3.57,0.84,2.69,8.55,1,0
68,Musiala,GER,2010,CB,35,1975,178,68,Left,74.0,89,4,417,0.25,0.11,0.0,2.31,0.0,82.9,7.94,12.13,26.56,0.35,0.3,0.52,3.41,1.29,1.97,6.35,1,0
69,Wirtz,GER,2010,ST,30,1980,193,67,Right,44.3,80,4,360,1.32,0.31,0.0,0.0,0.0,70.6,1.44,2.17,1.56,1.32,-0.2,1.2,14.4,6.47,11.84,5.63,0,0
70,Suarez,URU,2010,ST,31,1979,185,69,Right,61.0,78,3,332,0.93,0.35,0.0,0.0,0.0,72.5,1.71,3.38,0.77,0.66,0.0,1.56,5.08,4.95,10.96,8.17,0,0
71,Cavani,URU,2010,CM,33,1977,185,86,Right,74.1,83,3,252,0.51,0.87,0.0,1.1,0.0,86.9,10.36,9.97,6.99,1.09,-0.2,1.01,2.09,1.27,6.32,7.0,0,0
72,Godin,URU,2010,CB,25,1985,186,85,Left,26.4,74,3,275,0.15,0.09,0.0,1.58,0.0,90.6,8.86,15.82,19.29,0.34,-0.0,0.38,5.22,1.24,1.66,5.68,0,0
73,Gimenez,URU,2010,LB,27,1983,187,87,Both,131.7,94,4,368,0.18,0.83,0.0,2.7,0.0,85.7,12.27,6.38,9.31,1.03,-0.5,0.68,5.44,2.0,8.17,5.06,0,0
74,Valverde,URU,2010,RW,36,1974,173,85,Right,38.2,74,5,404,0.55,0.6,0.0,0.72,0.0,81.3,4.54,3.53,2.45,0.66,-0.2,0.92,11.13,5.2,3.67,6.59,0,0
75,Bentancur,URU,2010,CM,33,1977,190,72,Right,11.3,75,5,449,0.18,0.79,0.0,1.35,0.0,87.6,7.64,8.47,3.76,0.68,-0.0,0.03,6.85,2.11,7.07,7.81,0,0
76,Nunez,URU,2010,LB,23,1987,187,70,Right,27.3,85,4,309,0.44,0.53,0.0,1.32,0.0,83.9,14.65,9.13,6.39,0.83,-0.1,0.32,5.23,1.91,5.82,3.29,1,0
77,De Arrascaeta,URU,2010,LW,23,1987,179,73,Right,20.3,74,4,316,0.61,0.79,0.0,0.69,0.0,79.7,2.32,2.62,2.6,1.48,0.4,0.95,9.39,1.61,11.01,3.46,0,0
78,Pellistri,URU,2010,CB,34,1976,170,71,Right,44.2,69,2,216,0.31,0.12,0.0,1.23,0.0,91.5,10.13,7.96,24.62,0.55,0.3,0.17,0.86,1.13,2.98,6.17,1,0
79,Olivera,URU,2010,CM,35,1975,171,68,Right,12.7,64,4,353,0.53,0.81,0.0,0.68,0.0,84.2,9.76,13.15,8.85,0.45,0.5,0.37,6.87,1.87,4.02,4.35,1,0
80,Coates,URU,2010,GK,32,1978,186,86,Right,32.1,84,4,417,0.0,0.0,6.56,2.45,3.69,82.7,1.03,2.29,7.23,0.0,0.7,0.26,0.0,0.0,0.0,0.54,0,0
81,Rochet,URU,2010,LW,20,1990,191,83,Right,26.0,84,5,417,0.71,0.58,0.0,0.7,0.0,77.4,1.99,2.34,2.29,1.32,0.0,1.26,7.74,3.92,22.25,6.25,0,0
82,Mele,URU,2010,RB,33,1977,193,87,Both,29.9,84,4,369,0.33,0.69,0.0,1.05,0.0,78.5,6.12,9.78,9.45,0.92,0.0,0.73,5.58,1.27,3.59,6.6,0,0
83,Caceres,URU,2010,CDM,37,1973,181,79,Right,18.2,75,4,381,0.23,0.37,0.0,0.96,0.0,87.2,6.03,14.77,6.36,0.64,-0.3,0.12,3.29,0.59,4.3,7.49,1,0
84,Vina,URU,2010,GK,24,1986,196,91,Right,8.9,70,3,288,0.0,0.0,12.41,1.59,1.83,85.1,1.16,2.0,5.96,0.0,0.4,-0.19,0.0,0.0,0.0,1.18,0,0
85,Torres,URU,2010,CAM,22,1988,185,76,Right,63.1,71,5,490,0.66,0.8,0.0,0.47,0.0,76.4,4.13,3.55,2.82,1.37,0.5,0.44,7.28,3.28,13.29,3.52,0,0
86,Canobbio,URU,2010,ST,33,1977,188,82,Left,33.1,82,2,257,0.94,0.32,0.0,0.0,0.0,66.3,2.49,2.54,0.96,1.38,-0.1,1.46,9.66,6.05,7.55,8.82,0,0
87,Araujo,URU,2010,RW,22,1988,184,71,Right,35.0,87,4,381,1.0,0.95,0.0,0.32,0.0,79.7,3.21,3.03,1.44,1.81,-0.5,1.79,13.04,2.9,22.21,4.7,0,0
88,Gonzalez,URU,2010,CB,35,1975,174,65,Right,50.4,84,6,578,0.24,0.13,0.0,2.03,0.0,86.8,9.94,6.43,27.8,0.43,-0.1,0.32,3.66,0.93,2.49,0.75,0,0
89,Rodriguez,URU,2010,GK,22,1988,193,81,Left,11.6,79,2,215,0.0,0.0,15.64,1.92,3.62,90.2,1.27,2.38,4.95,0.0,0.7,0.26,0.0,0.0,0.0,1.17,0,0
90,Alvarez,URU,2010,CB,25,1985,179,86,Left,40.1,71,4,324,0.19,0.06,0.0,1.53,0.0,88.5,8.35,7.56,19.89,0.64,0.1,0.54,3.98,1.1,2.28,5.71,1,0
91,Bueno,URU,2010,RB,32,1978,192,69,Right,80.6,92,2,165,0.47,0.53,0.0,1.75,0.0,80.6,7.59,7.37,6.91,0.59,-0.3,1.08,5.15,1.78,3.73,4.69,0,0
92,Lopez,URU,2010,CDM,23,1987,187,73,Left,46.0,76,3,290,0.33,0.32,0.0,0.92,0.0,89.4,14.01,14.84,10.75,0.58,0.4,0.55,5.89,0.41,3.41,8.39,0,0
93,Messi,ARG,2010,CB,27,1983,178,84,Right,47.6,76,3,241,0.16,0.12,0.0,1.57,0.0,83.5,8.36,15.67,28.4,0.77,-0.2,0.36,6.57,1.34,3.04,8.16,1,0
94,Di Maria,ARG,2010,CB,23,1987,189,74,Left,28.8,75,3,330,0.23,0.1,0.0,1.46,0.0,90.1,8.47,6.55,25.1,0.26,-0.5,0.6,5.0,1.03,2.12,3.65,1,0
95,Martinez,ARG,2010,RB,21,1989,192,69,Right,48.0,86,5,459,0.2,0.59,0.0,2.01,0.0,82.8,16.64,10.01,16.09,0.65,-0.3,0.44,6.19,2.17,6.81,7.95,0,0
96,Otamendi,ARG,2010,RB,32,1978,186,86,Right,53.3,83,4,302,0.2,0.46,0.0,1.86,0.0,88.4,3.74,7.14,10.25,0.59,-0.1,0.7,4.88,2.64,7.11,4.33,0,0
97,De Paul,ARG,2010,LW,36,1974,174,68,Right,89.0,90,5,412,0.96,1.06,0.0,0.49,0.0,78.9,2.36,3.93,2.09,2.0,-0.2,1.45,8.2,6.09,10.05,4.59,0,0
98,Paredes,ARG,2010,CAM,21,1989,192,81,Right,76.9,81,3,295,0.86,1.29,0.0,0.36,0.0,81.9,3.88,6.79,1.5,1.28,-0.5,0.78,8.32,1.88,17.19,4.09,0,0
99,Lo Celso,ARG,2010,ST,19,1991,188,82,Right,59.4,81,4,320,0.96,0.31,0.0,0.0,0.0,75.1,2.07,3.26,1.38,0.95,0.1,1.25,7.67,5.36,6.62,5.59,0,0
100,Lautaro,ARG,2010,LB,24,1986,185,85,Right,47.5,97,3,354,0.31,0.68,0.0,2.2,0.0,84.9,14.51,6.33,12.58,0.45,0.2,0.84,6.69,1.51,6.85,5.3,0,0
101,Alvarez,ARG,2010,CB,21,1989,188,84,Left,60.4,84,5,429,0.1,0.09,0.0,2.15,0.0,84.4,7.53,6.16,37.18,0.83,0.4,0.15,4.71,1.61,1.18,6.02,1,0
102,Tagliafico,ARG,2010,ST,32,1978,184,65,Right,104.9,83,2,172,0.83,0.2,0.0,0.0,0.0,67.7,2.32,2.08,0.99,1.17,-0.3,1.6,12.22,4.92,8.1,8.99,0,0
103,Molina,ARG,2010,CDM,32,1978,189,81,Left,33.5,73,4,308,0.07,0.1,0.0,1.23,0.0,94.8,17.68,10.69,5.46,0.59,-0.1,-0.08,4.4,0.83,3.65,7.76,1,0
104,Acuna,ARG,2010,RW,36,1974,187,76,Left,16.0,73,5,445,0.54,0.7,0.0,0.32,0.0,77.3,2.02,4.23,1.99,1.37,-0.3,0.75,6.87,4.81,10.76,6.3,0,0
105,Montiel,ARG,2010,LW,28,1982,194,82,Right,23.4,72,4,420,1.04,0.81,0.0,0.56,0.0,82.5,2.51,6.47,1.9,0.42,-0.7,0.5,11.06,6.52,13.98,4.45,0,0
106,Pezzella,ARG,2010,CM,27,1983,181,66,Left,43.7,72,2,235,0.31,0.83,0.0,0.69,0.0,85.3,8.89,10.65,4.15,1.2,-0.5,0.63,5.64,1.67,7.72,4.61,1,0
107,Gonzalez,ARG,2010,CM,27,1983,175,79,Right,9.4,63,3,327,0.34,0.45,0.0,1.09,0.0,87.0,2.8,11.74,8.66,0.77,-0.2,0.32,5.74,2.43,8.1,4.03,0,0
108,Correa,ARG,2010,GK,20,1990,186,78,Right,39.1,73,5,394,0.0,0.0,19.78,1.85,4.69,85.9,1.28,2.91,6.77,0.0,0.4,-0.03,0.0,0.0,0.0,0.54,0,0
109,Dybala,ARG,2010,RW,30,1980,192,86,Right,43.6,81,5,407,0.52,1.05,0.0,0.59,0.0,81.8,1.9,5.12,2.12,1.47,0.4,0.72,7.7,4.43,2.65,5.78,0,0
110,Rulli,ARG,2010,CDM,33,1977,191,89,Both,18.5,75,2,160,0.14,0.3,0.0,0.96,0.0,87.4,9.33,14.44,10.02,0.37,-0.7,0.15,2.07,1.21,5.2,4.4,1,0
111,Armani,ARG,2010,CB,21,1989,190,82,Right,44.3,75,5,447,0.18,0.12,0.0,1.85,0.0,90.7,8.93,11.98,21.45,0.08,-0.2,0.36,5.51,0.84,1.76,5.94,0,0
112,Foyth,ARG,2010,GK,34,1976,184,86,Right,20.4,74,3,320,0.0,0.0,10.59,2.05,3.09,85.7,0.86,1.8,5.98,0.0,0.2,-0.22,0.0,0.0,0.0,1.27,0,0
113,Palacios,ARG,2010,CM,31,1979,174,79,Left,22.2,66,4,323,0.2,0.66,0.0,1.27,0.0,90.8,8.17,7.39,5.82,1.02,-0.4,-0.09,7.41,1.84,7.97,6.71,0,0
114,Almada,ARG,2010,GK,26,1984,187,87,Right,47.1,79,1,97,0.0,0.0,16.9,2.17,1.3,82.6,1.01,1.14,2.12,0.0,0.3,0.18,0.0,0.0,0.0,1.06,0,0
115,Carboni,ARG,2010,LB,28,1982,177,68,Left,41.3,88,3,305,0.4,0.55,0.0,2.11,0.0,85.0,9.16,3.25,10.01,1.08,0.1,0.14,3.16,1.94,7.27,4.17,0,0
116,Neymar,BRA,2010,LB,28,1982,180,81,Right,95.4,92,3,289,0.28,0.52,0.0,2.5,0.0,88.4,14.82,11.66,12.29,0.39,0.3,0.69,4.6,2.68,6.8,6.2,0,0
117,Vinicius Jr,BRA,2010,RB,32,1978,180,73,Left,34.8,76,4,359,0.41,0.4,0.0,2.22,0.0,83.3,11.67,5.12,12.2,0.65,-0.5,0.28,5.84,1.95,7.66,3.66,1,0
118,Alisson,BRA,2010,RW,34,1976,171,77,Right,124.5,77,5,420,0.82,1.18,0.0,0.53,0.0,82.4,3.33,3.09,2.18,1.6,0.1,1.73,14.88,6.08,12.78,1.19,0,0
119,Thiago Silva,BRA,2010,CAM,19,1991,183,81,Left,39.5,75,3,302,0.71,0.68,0.0,0.47,0.0,85.8,2.93,7.82,1.72,1.45,0.0,0.7,10.01,3.53,12.34,4.54,0,0
120,Casemiro,BRA,2010,GK,35,1975,185,91,Left,10.4,75,4,345,0.0,0.0,21.89,2.49,2.85,83.6,1.21,1.64,5.55,0.0,0.6,-0.4,0.0,0.0,0.0,1.47,0,0
121,Marquinhos,BRA,2010,GK,25,1985,188,89,Left,23.5,86,5,447,0.0,0.0,11.02,2.38,2.75,87.3,1.17,1.09,5.61,0.0,0.4,0.36,0.0,0.0,0.0,1.5,0,0
122,Richarlison,BRA,2010,LB,24,1986,176,84,Left,60.6,96,6,507,0.44,0.37,0.0,2.73,0.0,86.2,10.94,8.48,10.71,0.54,-0.3,0.98,5.64,2.64,5.57,3.9,0,0
123,Rodrygo,BRA,2010,CB,28,1982,183,69,Left,63.4,90,3,322,0.24,0.11,0.0,2.31,0.0,88.9,7.42,6.93,23.4,0.69,0.1,0.39,5.57,0.79,1.91,6.51,0,0
124,Lucas Paqueta,BRA,2010,GK,20,1990,188,75,Both,21.0,70,4,367,0.0,0.0,11.25,2.26,3.52,86.4,0.83,1.87,4.19,0.0,0.6,0.33,0.0,0.0,0.0,1.59,0,0
125,Ederson,BRA,2010,CM,37,1973,188,66,Right,22.0,80,3,283,0.27,0.68,0.0,0.54,0.0,86.8,9.75,7.42,3.81,0.54,-0.1,0.74,4.83,2.02,10.13,4.27,0,0
126,Danilo,BRA,2010,CB,23,1987,182,82,Left,36.0,74,4,373,0.2,0.12,0.0,1.66,0.0,93.1,11.9,11.37,19.06,0.55,0.1,0.45,3.56,0.73,2.07,5.87,0,0
