EventID,MatchID,PlayerID,TeamCode,EventType,Minute,Detail,xG
108,9,224,KOR,Substitution,86,Sub On,0.0
109,9,215,KOR,Substitution,83,Sub On,0.0
110,9,210,KOR,Substitution,54,Sub On,0.0
111,10,653,GRE,Goal,61,Penalty,0.63
112,10,649,GRE,Goal,65,Penalty,0.85
113,10,492,NGA,Goal,36,Open Play,0.31
114,10,649,GRE,YellowCard,76,Foul,0.0
115,10,656,GRE,YellowCard,55,Foul,0.0
116,10,499,NGA,YellowCard,29,Foul,0.0
117,10,662,GRE,Substitution,83,Sub On,0.0
118,10,658,GRE,Substitution,82,Sub On,0.0
119,10,652,GRE,Substitution,50,Sub On,0.0
120,10,647,GRE,Substitution,59,Sub On,0.0
121,10,664,GRE,Substitution,84,Sub On,0.0
122,10,500,NGA,Substitution,54,Sub On,0.0
123,10,494,NGA,Substitution,48,Sub On,0.0
124,10,487,NGA,Substitution,65,Sub On,0.0
125,10,497,NGA,Substitution,62,Sub On,0.0
126,10,501,NGA,Substitution,88,Sub On,0.0
127,11,487,NGA,Goal,31,Open Play,0.46
128,11,492,NGA,Goal,83,Open Play,0.86
129,11,214,KOR,Goal,39,Open Play,0.33
130,11,228,KOR,Goal,51,Open Play,0.07
131,11,493,NGA,YellowCard,7,Foul,0.0
132,11,492,NGA,YellowCard,82,Foul,0.0
133,11,224,KOR,YellowCard,57,Foul,0.0
134,11,220,KOR,YellowCard,89,Foul,0.0
135,11,504,NGA,Substitution,80,Sub On,0.0
136,11,486,NGA,Substitution,80,Sub On,0.0
137,11,499,NGA,Substitution,85,Sub On,0.0
138,11,506,NGA,Substitution,53,Sub On,0.0
139,11,486,NGA,Substitution,83,Sub On,0.0
140,11,214,KOR,Substitution,55,Sub On,0.0
141,11,219,KOR,Substitution,50,Sub On,0.0
142,11,228,KOR,Substitution,64,Sub On,0.0
143,11,218,KOR,Substitution,73,Sub On,0.0
144,12,101,ARG,Goal,69,Open Play,0.68
145,12,102,ARG,Goal,76,Open Play,0.38
146,12,111,ARG,YellowCard,78,Foul,0.0
147,12,95,ARG,YellowCard,4,Foul,0.0
148,12,100,ARG,YellowCard,72,Foul,0.0
149,12,663,GRE,YellowCard,58,Foul,0.0
150,12,658,GRE,YellowCard,94,Foul,0.0
151,12,97,ARG,YellowCard,73,Foul,0.0
152,12,656,GRE,Substitution,50,Sub On,0.0
153,12,645,GRE,Substitution,71,Sub On,0.0
154,12,656,GRE,Substitution,67,Sub On,0.0
155,12,662,GRE,Substitution,48,Sub On,0.0
156,12,649,GRE,Substitution,64,Sub On,0.0
157,12,109,ARG,Substitution,73,Sub On,0.0
158,12,95,ARG,Substitution,50,Sub On,0.0
159,12,115,ARG,Substitution,76,Sub On,0.0
160,12,99,ARG,Substitution,53,Sub On,0.0
161,12,113,ARG,Substitution,56,Sub On,0.0
162,13,287,ENG,Goal,8,Open Play,0.21
163,13,232,USA,Goal,69,Open Play,0.42
164,13,232,USA,YellowCard,70,Foul,0.0
165,13,278,ENG,YellowCard,15,Foul,0.0
166,13,295,ENG,YellowCard,84,Foul,0.0
167,13,234,USA,YellowCard,23,Foul,0.0
168,13,294,ENG,YellowCard,32,Foul,0.0
169,13,278,ENG,YellowCard,9,Foul,0.0
170,13,280,ENG,Substitution,77,Sub On,0.0
171,13,282,ENG,Substitution,53,Sub On,0.0
172,13,282,ENG,Substitution,57,Sub On,0.0
173,13,278,ENG,Substitution,88,Sub On,0.0
174,13,290,ENG,Substitution,46,Sub On,0.0
175,13,236,USA,Substitution,62,Sub On,0.0
176,13,247,USA,Substitution,50,Sub On,0.0
177,13,249,USA,Substitution,73,Sub On,0.0
178,13,241,USA,Substitution,84,Sub On,0.0
179,14,299,ENG,YellowCard,2,Foul,0.0
180,14,482,ALG,YellowCard,90,Foul,0.0
181,14,483,ALG,YellowCard,33,Foul,0.0
182,14,299,ENG,Substitution,71,Sub On,0.0
183,14,285,ENG,Substitution,78,Sub On,0.0
184,14,287,ENG,Substitution,65,Sub On,0.0
185,14,287,ENG,Substitution,65,Sub On,0.0
186,14,288,ENG,Substitution,85,Sub On,0.0
187,14,478,ALG,Substitution,85,Sub On,0.0
188,14,473,ALG,Substitution,55,Sub On,0.0
189,14,462,ALG,Substitution,73,Sub On,0.0
190,15,684,SVN,Goal,42,Open Play,0.29
191,15,483,ALG,YellowCard,80,Foul,0.0
192,15,686,SVN,YellowCard,80,Foul,0.0
193,15,467,ALG,YellowCard,53,Foul,0.0
194,15,468,ALG,YellowCard,69,Foul,0.0
195,15,474,ALG,RedCard,75,Serious Foul,0.0
196,15,676,SVN,Substitution,80,Sub On,0.0
197,15,672,SVN,Substitution,79,Sub On,0.0
198,15,685,SVN,Substitution,87,Sub On,0.0
199,15,682,SVN,Substitution,57,Sub On,0.0
200,15,688,SVN,Substitution,59,Sub On,0.0
201,15,461,ALG,Substitution,66,Sub On,0.0
202,15,466,ALG,Substitution,56,Sub On,0.0
203,15,478,ALG,Substitution,64,Sub On,0.0
204,16,245,USA,Goal,92,Open Play,0.39
205,16,253,USA,Goal,35,Open Play,0.69
206,16,670,SVN,Goal,87,Open Play,0.43
207,16,677,SVN,Goal,93,Open Play,0.34
208,16,233,USA,YellowCard,22,Foul,0.0
209,16,238,USA,YellowCard,31,Foul,0.0
210,16,234,USA,Substitution,53,Sub On,0.0
211,16,240,USA,Substitution,53,Sub On,0.0
212,16,248,USA,Substitution,81,Sub On,0.0
213,16,671,SVN,Substitution,76,Sub On,0.0
214,16,670,SVN,Substitution,84,Sub On,0.0
215,16,675,SVN,Substitution,53,Sub On,0.0
216,17,285,ENG,Goal,24,Open Play,0.66
217,17,288,ENG,YellowCard,52,Foul,0.0
218,17,298,ENG,YellowCard,62,Foul,0.0
219,17,290,ENG,Substitution,70,Sub On,0.0
220,17,285,ENG,Substitution,69,Sub On,0.0
221,17,295,ENG,Substitution,81,Sub On,0.0
222,17,298,ENG,Substitution,62,Sub On,0.0
223,17,287,ENG,Substitution,67,Sub On,0.0
224,17,674,SVN,Substitution,55,Sub On,0.0
225,17,671,SVN,Substitution,87,Sub On,0.0
226,17,674,SVN,Substitution,88,Sub On,0.0
227,17,672,SVN,Substitution,86,Sub On,0.0
228,17,672,SVN,Substitution,61,Sub On,0.0
229,18,231,USA,Goal,93,Open Play,0.69
230,18,462,ALG,YellowCard,63,Foul,0.0
231,18,243,USA,YellowCard,30,Foul,0.0
232,18,236,USA,YellowCard,6,Foul,0.0
233,18,243,USA,YellowCard,21,Foul,0.0
234,18,234,USA,Substitution,66,Sub On,0.0
235,18,240,USA,Substitution,76,Sub On,0.0
236,18,232,USA,Substitution,77,Sub On,0.0
237,18,246,USA,Substitution,85,Sub On,0.0
238,18,241,USA,Substitution,61,Sub On,0.0
239,18,470,ALG,Substitution,51,Sub On,0.0
240,18,463,ALG,Substitution,77,Sub On,0.0
241,18,471,ALG,Substitution,67,Sub On,0.0
242,18,470,ALG,Substitution,69,Sub On,0.0
243,19,69,GER,Goal,22,Open Play,0.22
244,19,55,GER,Goal,5,Open Play,0.37
245,19,47,GER,Goal,55,Open Play,0.32
246,19,47,GER,Goal,1,Open Play,0.37
247,19,520,AUS,YellowCard,38,Foul,0.0
248,19,514,AUS,YellowCard,89,Foul,0.0
249,19,527,AUS,YellowCard,65,Foul,0.0
250,19,510,AUS,YellowCard,43,Foul,0.0
251,19,59,GER,Substitution,53,Sub On,0.0
252,19,53,GER,Substitution,75,Sub On,0.0
253,19,56,GER,Substitution,57,Sub On,0.0
254,19,55,GER,Substitution,74,Sub On,0.0
255,19,514,AUS,Substitution,57,Sub On,0.0
256,19,525,AUS,Substitution,74,Sub On,0.0
257,19,525,AUS,Substitution,80,Sub On,0.0
258,19,517,AUS,Substitution,68,Sub On,0.0
259,20,144,GHA,Goal,91,Open Play,0.23
260,20,556,SRB,YellowCard,2,Foul,0.0
261,20,149,GHA,YellowCard,64,Foul,0.0
262,20,155,GHA,YellowCard,52,Foul,0.0
263,20,149,GHA,YellowCard,8,Foul,0.0
264,20,556,SRB,Substitution,49,Sub On,0.0
265,20,566,SRB,Substitution,58,Sub On,0.0
266,20,575,SRB,Substitution,67,Sub On,0.0
267,20,146,GHA,Substitution,50,Sub On,0.0
268,20,149,GHA,Substitution,81,Sub On,0.0
269,20,142,GHA,Substitution,49,Sub On,0.0
270,20,155,GHA,Substitution,57,Sub On,0.0
271,21,572,SRB,Goal,54,Open Play,0.35
272,21,59,GER,YellowCard,57,Foul,0.0
273,21,62,GER,YellowCard,18,Foul,0.0
274,21,55,GER,Substitution,59,Sub On,0.0
275,21,69,GER,Substitution,84,Sub On,0.0
276,21,57,GER,Substitution,69,Sub On,0.0
277,21,49,GER,Substitution,52,Sub On,0.0
278,21,569,SRB,Substitution,51,Sub On,0.0
279,21,575,SRB,Substitution,56,Sub On,0.0
280,21,557,SRB,Substitution,46,Sub On,0.0
281,21,557,SRB,Substitution,60,Sub On,0.0
282,21,575,SRB,Substitution,84,Sub On,0.0
283,22,142,GHA,Goal,59,Open Play,0.14
284,22,524,AUS,Goal,90,Open Play,0.56
285,22,528,AUS,YellowCard,78,Foul,0.0
286,22,517,AUS,YellowCard,15,Foul,0.0
287,22,528,AUS,YellowCard,50,Foul,0.0
288,22,525,AUS,YellowCard,17,Foul,0.0
289,22,140,GHA,RedCard,17,Serious Foul,0.0
290,22,148,GHA,Substitution,55,Sub On,0.0
291,22,144,GHA,Substitution,50,Sub On,0.0
292,22,142,GHA,Substitution,80,Sub On,0.0
293,22,528,AUS,Substitution,62,Sub On,0.0
294,22,517,AUS,Substitution,54,Sub On,0.0
295,22,516,AUS,Substitution,58,Sub On,0.0
296,22,515,AUS,Substitution,89,Sub On,0.0
297,22,520,AUS,Substitution,69,Sub On,0.0
298,23,69,GER,Goal,60,Open Play,0.32
299,23,142,GHA,YellowCard,67,Foul,0.0
300,23,150,GHA,YellowCard,18,Foul,0.0
301,23,156,GHA,Substitution,74,Sub On,0.0
302,23,148,GHA,Substitution,57,Sub On,0.0
303,23,160,GHA,Substitution,68,Sub On,0.0
304,23,64,GER,Substitution,54,Sub On,0.0
305,23,58,GER,Substitution,57,Sub On,0.0
306,23,69,GER,Substitution,89,Sub On,0.0
307,24,511,AUS,Goal,13,Open Play,0.24
308,24,514,AUS,Goal,25,Open Play,0.49
309,24,563,SRB,Goal,78,Open Play,0.76
310,24,519,AUS,YellowCard,30,Foul,0.0
311,24,569,SRB,YellowCard,91,Foul,0.0
312,24,559,SRB,YellowCard,47,Foul,0.0
313,24,570,SRB,YellowCard,29,Foul,0.0
314,24,519,AUS,Substitution,46,Sub On,0.0
315,24,523,AUS,Substitution,62,Sub On,0.0
316,24,511,AUS,Substitution,50,Sub On,0.0
317,24,521,AUS,Substitution,49,Sub On,0.0
318,24,574,SRB,Substitution,61,Sub On,0.0
319,24,568,SRB,Substitution,52,Sub On,0.0
320,24,571,SRB,Substitution,74,Sub On,0.0
321,24,573,SRB,Substitution,58,Sub On,0.0
322,24,559,SRB,Substitution,55,Sub On,0.0
323,25,41,NED,Goal,44,Open Play,0.79
324,25,41,NED,Goal,92,Open Play,0.66
325,25,597,DEN,YellowCard,55,Foul,0.0
326,25,44,NED,YellowCard,19,Foul,0.0
327,25,37,NED,Substitution,68,Sub On,0.0
328,25,40,NED,Substitution,48,Sub On,0.0
329,25,41,NED,Substitution,47,Sub On,0.0
330,25,28,NED,Substitution,76,Sub On,0.0
331,25,40,NED,Substitution,50,Sub On,0.0
332,25,588,DEN,Substitution,54,Sub On,0.0
333,25,595,DEN,Substitution,80,Sub On,0.0
334,25,586,DEN,Substitution,48,Sub On,0.0
335,25,591,DEN,Substitution,58,Sub On,0.0
336,25,577,DEN,Substitution,82,Sub On,0.0
337,26,191,JPN,Goal,16,Open Play,0.29
338,26,201,JPN,YellowCard,76,Foul,0.0
339,26,415,CMR,YellowCard,45,Foul,0.0
340,26,435,CMR,YellowCard,13,Foul,0.0
341,26,201,JPN,YellowCard,47,Foul,0.0
342,26,205,JPN,Substitution,50,Sub On,0.0
343,26,203,JPN,Substitution,74,Sub On,0.0
344,26,192,JPN,Substitution,46,Sub On,0.0
345,26,424,CMR,Substitution,79,Sub On,0.0
346,26,419,CMR,Substitution,61,Sub On,0.0
347,26,436,CMR,Substitution,79,Sub On,0.0
348,27,28,NED,Goal,39,Open Play,0.68
349,27,203,JPN,YellowCard,64,Foul,0.0
350,27,202,JPN,YellowCard,72,Foul,0.0
351,27,41,NED,YellowCard,21,Foul,0.0
352,27,187,JPN,YellowCard,18,Foul,0.0
353,27,189,JPN,YellowCard,87,Foul,0.0
354,27,42,NED,Substitution,80,Sub On,0.0
355,27,38,NED,Substitution,53,Sub On,0.0
356,27,28,NED,Substitution,84,Sub On,0.0
357,27,203,JPN,Substitution,74,Sub On,0.0
358,27,191,JPN,Substitution,73,Sub On,0.0
359,27,187,JPN,Substitution,46,Sub On,0.0
360,28,416,CMR,Goal,16,Open Play,0.89
361,28,593,DEN,Goal,66,Open Play,0.88
362,28,591,DEN,Goal,31,Open Play,0.73
363,28,432,CMR,YellowCard,59,Foul,0.0
364,28,430,CMR,YellowCard,41,Foul,0.0
365,28,578,DEN,YellowCard,53,Foul,0.0
366,28,423,CMR,YellowCard,72,Foul,0.0
367,28,586,DEN,YellowCard,33,Foul,0.0
368,28,594,DEN,RedCard,67,Serious Foul,0.0
369,28,420,CMR,Substitution,65,Sub On,0.0
370,28,416,CMR,Substitution,65,Sub On,0.0
371,28,424,CMR,Substitution,88,Sub On,0.0
372,28,596,DEN,Substitution,53,Sub On,0.0
373,28,594,DEN,Substitution,58,Sub On,0.0
374,28,582,DEN,Substitution,49,Sub On,0.0
375,29,204,JPN,Goal,60,Open Play,0.34
376,29,195,JPN,Goal,36,Open Play,0.35
377,29,195,JPN,Goal,22,Open Play,0.61
378,29,590,DEN,Goal,38,Open Play,0.64
379,29,197,JPN,YellowCard,5,Foul,0.0
380,29,205,JPN,YellowCard,41,Foul,0.0
381,29,189,JPN,YellowCard,46,Foul,0.0
382,29,589,DEN,YellowCard,12,Foul,0.0
383,29,188,JPN,Substitution,69,Sub On,0.0
384,29,186,JPN,Substitution,81,Sub On,0.0
385,29,193,JPN,Substitution,59,Sub On,0.0
386,29,581,DEN,Substitution,65,Sub On,0.0
387,29,577,DEN,Substitution,47,Sub On,0.0
388,29,598,DEN,Substitution,70,Sub On,0.0
389,30,419,CMR,Goal,26,Open Play,0.42
390,30,38,NED,Goal,16,Open Play,0.29
391,30,44,NED,Goal,21,Open Play,0.78
392,30,44,NED,YellowCard,58,Foul,0.0
393,30,36,NED,YellowCard,4,Foul,0.0
394,30,30,NED,YellowCard,4,Foul,0.0
395,30,425,CMR,Substitution,69,Sub On,0.0
396,30,415,CMR,Substitution,59,Sub On,0.0
397,30,431,CMR,Substitution,81,Sub On,0.0
398,30,430,CMR,Substitution,58,Sub On,0.0
399,30,424,CMR,Substitution,47,Sub On,0.0
400,30,42,NED,Substitution,85,Sub On,0.0
401,30,37,NED,Substitution,86,Sub On,0.0
402,30,24,NED,Substitution,47,Sub On,0.0
403,31,637,ITA,Goal,12,Open Play,0.14
404,31,165,PAR,Goal,91,Open Play,0.47
405,31,632,ITA,YellowCard,46,Foul,0.0
406,31,625,ITA,YellowCard,50,Foul,0.0
407,31,166,PAR,YellowCard,81,Foul,0.0
408,31,173,PAR,YellowCard,79,Foul,0.0
409,31,174,PAR,YellowCard,2,Foul,0.0
410,31,643,ITA,Substitution,50,Sub On,0.0
411,31,634,ITA,Substitution,71,Sub On,0.0
412,31,635,ITA,Substitution,66,Sub On,0.0
413,31,627,ITA,Substitution,81,Sub On,0.0
414,31,169,PAR,Substitution,53,Sub On,0.0
415,31,183,PAR,Substitution,50,Sub On,0.0
416,31,171,PAR,Substitution,60,Sub On,0.0
417,31,163,PAR,Substitution,74,Sub On,0.0
418,31,172,PAR,Substitution,85,Sub On,0.0
419,32,532,NZL,Goal,41,Open Play,0.29
420,32,352,SVK,Goal,9,Open Play,0.07
421,32,531,NZL,YellowCard,25,Foul,0.0
422,32,355,SVK,YellowCard,66,Foul,0.0
423,32,531,NZL,YellowCard,63,Foul,0.0
424,32,366,SVK,YellowCard,19,Foul,0.0
425,32,533,NZL,YellowCard,83,Foul,0.0
426,32,548,NZL,Substitution,57,Sub On,0.0
427,32,552,NZL,Substitution,70,Sub On,0.0
428,32,539,NZL,Substitution,79,Sub On,0.0
429,32,547,NZL,Substitution,55,Sub On,0.0
430,32,546,NZL,Substitution,56,Sub On,0.0
431,32,348,SVK,Substitution,67,Sub On,0.0
432,32,368,SVK,Substitution,49,Sub On,0.0
433,32,351,SVK,Substitution,74,Sub On,0.0
434,32,347,SVK,Substitution,60,Sub On,0.0
435,33,623,ITA,Goal,6,Open Play,0.22
436,33,543,NZL,Goal,13,Open Play,0.11
437,33,548,NZL,YellowCard,93,Foul,0.0
438,33,642,ITA,YellowCard,80,Foul,0.0
439,33,547,NZL,YellowCard,14,Foul,0.0
440,33,631,ITA,Substitution,53,Sub On,0.0
441,33,642,ITA,Substitution,76,Sub On,0.0
442,33,642,ITA,Substitution,74,Sub On,0.0
443,33,636,ITA,Substitution,63,Sub On,0.0
444,33,633,ITA,Substitution,72,Sub On,0.0
445,33,550,NZL,Substitution,63,Sub On,0.0
446,33,534,NZL,Substitution,70,Sub On,0.0
447,33,542,NZL,Substitution,48,Sub On,0.0
448,33,538,NZL,Substitution,48,Sub On,0.0
449,34,175,PAR,Goal,51,Open Play,0.8
450,34,166,PAR,Goal,36,Open Play,0.11
451,34,354,SVK,YellowCard,41,Foul,0.0
452,34,366,SVK,YellowCard,17,Foul,0.0
453,34,183,PAR,YellowCard,17,Foul,0.0
454,34,184,PAR,YellowCard,60,Foul,0.0
455,34,350,SVK,YellowCard,19,Foul,0.0
456,34,162,PAR,YellowCard,72,Foul,0.0
457,34,366,SVK,Substitution,48,Sub On,0.0
458,34,361,SVK,Substitution,65,Sub On,0.0
459,34,368,SVK,Substitution,84,Sub On,0.0
460,34,351,SVK,Substitution,73,Sub On,0.0
461,34,175,PAR,Substitution,61,Sub On,0.0
462,34,163,PAR,Substitution,55,Sub On,0.0
463,34,168,PAR,Substitution,58,Sub On,0.0
464,34,184,PAR,Substitution,84,Sub On,0.0
465,34,171,PAR,Substitution,74,Sub On,0.0
466,35,364,SVK,Goal,22,Penalty,0.58
467,35,347,SVK,Goal,9,Open Play,0.75
468,35,354,SVK,Goal,81,Open Play,0.63
469,35,631,ITA,Goal,8,Open Play,0.32
470,35,624,ITA,Goal,38,Open Play,0.23
471,35,641,ITA,YellowCard,77,Foul,0.0
472,35,353,SVK,YellowCard,18,Foul,0.0
473,35,361,SVK,YellowCard,59,Foul,0.0
474,35,367,SVK,YellowCard,67,Foul,0.0
475,35,347,SVK,Substitution,52,Sub On,0.0
476,35,351,SVK,Substitution,53,Sub On,0.0
477,35,367,SVK,Substitution,58,Sub On,0.0
478,35,631,ITA,Substitution,74,Sub On,0.0
479,35,641,ITA,Substitution,65,Sub On,0.0
480,35,630,ITA,Substitution,86,Sub On,0.0
481,35,641,ITA,Substitution,76,Sub On,0.0
482,36,533,NZL,YellowCard,72,Foul,0.0
483,36,166,PAR,YellowCard,2,Foul,0.0
484,36,182,PAR,YellowCard,12,Foul,0.0
485,36,183,PAR,Substitution,76,Sub On,0.0
486,36,166,PAR,Substitution,89,Sub On,0.0
487,36,165,PAR,Substitution,83,Sub On,0.0
488,36,544,NZL,Substitution,71,Sub On,0.0
489,36,552,NZL,Substitution,89,Sub On,0.0
490,36,548,NZL,Substitution,56,Sub On,0.0
491,36,544,NZL,Substitution,46,Sub On,0.0
492,36,539,NZL,Substitution,81,Sub On,0.0
493,37,132,BRA,Goal,84,Open Play,0.08
494,37,132,BRA,Goal,53,Open Play,0.78
495,37,702,PRK,Goal,24,Open Play,0.46
496,37,117,BRA,YellowCard,36,Foul,0.0
497,37,692,PRK,YellowCard,33,Foul,0.0
498,37,700,PRK,YellowCard,32,Foul,0.0
499,37,124,BRA,Substitution,89,Sub On,0.0
500,37,132,BRA,Substitution,64,Sub On,0.0
501,37,128,BRA,Substitution,83,Sub On,0.0
502,37,116,BRA,Substitution,86,Sub On,0.0
503,37,711,PRK,Substitution,50,Sub On,0.0
504,37,693,PRK,Substitution,68,Sub On,0.0
505,37,697,PRK,Substitution,63,Sub On,0.0
506,37,697,PRK,Substitution,86,Sub On,0.0
507,38,300,POR,YellowCard,39,Foul,0.0
508,38,314,POR,YellowCard,76,Foul,0.0
509,38,452,CIV,YellowCard,78,Foul,0.0
510,38,460,CIV,YellowCard,44,Foul,0.0
511,38,302,POR,YellowCard,80,Foul,0.0
512,38,455,CIV,RedCard,46,Serious Foul,0.0
513,38,448,CIV,Substitution,75,Sub On,0.0
514,38,460,CIV,Substitution,82,Sub On,0.0
515,38,450,CIV,Substitution,72,Sub On,0.0
516,38,456,CIV,Substitution,62,Sub On,0.0
517,38,449,CIV,Substitution,86,Sub On,0.0
518,38,310,POR,Substitution,68,Sub On,0.0
519,38,319,POR,Substitution,85,Sub On,0.0
520,38,317,POR,Substitution,49,Sub On,0.0
521,38,318,POR,Substitution,87,Sub On,0.0
522,39,129,BRA,Goal,41,Own Goal,0.19
523,39,119,BRA,Goal,64,Open Play,0.51
524,39,127,BRA,Goal,61,Open Play,0.16
525,39,438,CIV,Goal,38,Open Play,0.71
526,39,454,CIV,YellowCard,69,Foul,0.0
527,39,456,CIV,YellowCard,89,Foul,0.0
528,39,135,BRA,YellowCard,79,Foul,0.0
529,39,439,CIV,YellowCard,12,Foul,0.0
530,39,442,CIV,YellowCard,14,Foul,0.0
531,39,438,CIV,YellowCard,70,Foul,0.0
532,39,117,BRA,Substitution,86,Sub On,0.0
533,39,121,BRA,Substitution,66,Sub On,0.0
534,39,125,BRA,Substitution,84,Sub On,0.0
535,39,137,BRA,Substitution,63,Sub On,0.0
536,39,135,BRA,Substitution,76,Sub On,0.0
537,39,438,CIV,Substitution,64,Sub On,0.0
538,39,448,CIV,Substitution,79,Sub On,0.0
539,39,460,CIV,Substitution,75,Sub On,0.0
540,39,448,CIV,Substitution,67,Sub On,0.0
541,39,455,CIV,Substitution,62,Sub On,0.0
542,40,306,POR,Goal,55,Open Play,0.72
